Id,year,CountryName,gdp,transport,retail,mining,life,import,house,gge,gfix,gcf,fertility,fce,export,cons,agri
1,1960,Albania ,1450.914723180257,,,,62.279,,,,,,6.489,,,,
1,1961,Albania ,1462.967702749962,,,,63.298,,,,,,6.401,,,,
1,1962,Albania ,1511.390402567618,,,,64.187,,,,,,6.282,,,,
1,1963,Albania ,1562.942632675177,,,,64.911,,,,,,6.133,,,,
1,1964,Albania ,1616.472785467828,,,,65.461,,,,,,5.96,,,,
1,1965,Albania ,1675.446942471205,,,,65.848,,,,,,5.773,,,,
1,1966,Albania ,1738.263985655429,,,,66.108,,,,,,5.581,,,,
1,1967,Albania ,1803.690201414478,,,,66.30200000000001,,,,,,5.394,,,,
1,1968,Albania ,1868.785103056779,,,,66.485,,,,,,5.218,,,,
1,1969,Albania ,1932.253051780293,,,,66.687,,,,,,5.057,,,,
1,1970,Albania ,2003.536581480826,1.949853553753597,9.050139888734886,33.87612150949494,66.93300000000001,22.27228680055983,57.93494331715196,9.080714383788321,33.85701609965457,36.40794376053215,4.91,67.01565770094028,22.44466811019824,10.20333373690226,36.86563189119029
1,1971,Albania ,2083.621474273476,1.948587588749955,9.044263311848576,33.88163680621398,67.235,22.2704563799724,57.93768708837641,9.08276051437859,33.864620757372,36.39938720243805,4.775,67.02044760275498,22.44660434483785,10.20505035735233,36.87077268816048
1,1972,Albania ,2165.2031663649,1.948932739540329,9.045862746128179,33.87773399508193,67.58,22.272607151273,57.94155150726553,9.082037261583187,33.84843251850568,36.38516545175811,4.642,67.02358876884873,22.45983571773973,10.20398427607933,36.87237283054736
1,1973,Albania ,2273.048944528025,1.952040523698238,9.060294480534489,33.86899310432155,67.95099999999999,22.27379687126249,57.92559136730537,9.077345368460737,33.85799502308935,36.43927863766429,4.509,67.0029367357661,22.42756427330818,10.20096637076537,36.85374915109992
1,1974,Albania ,2281.522695734129,1.944790162340707,9.026635742920792,33.89818065321766,68.34099999999999,22.26496510819861,57.94591838431143,9.088898921049879,33.88743472180626,36.37371752628484,4.373,67.0348173053613,22.45241305268949,10.21019959369582,36.88619317647078
